#locus_id	contig	start	stop	annotation
cds27	gi|16763390|ref|NC_003197.1|	31274	32119	ID=cds27;Name=NP_459033.1;Parent=gene27;Dbxref=Genbank:NP_459033.1,GeneID:1251546;gbkey=CDS;gene=bcfH;product=thiol-disulfide isomerase;protein_id=NP_459033.1;transl_table=11;strand=+
cds28	gi|16763390|ref|NC_003197.1|	32116	32445	ID=cds28;Name=NP_945153.1;Parent=gene28;Dbxref=Genbank:NP_945153.1,GeneID:2673738;gbkey=CDS;product=hypothetical protein;protein_id=NP_945153.1;transl_table=11;strand=+
cds29	gi|16763390|ref|NC_003197.1|	32545	32994	ID=cds29;Name=NP_459034.1;Parent=gene29;Dbxref=Genbank:NP_459034.1,GeneID:1251547;gbkey=CDS;product=transcriptional regulator;protein_id=NP_459034.1;transl_table=11;strand=-
cds30	gi|16763390|ref|NC_003197.1|	33364	34368	ID=cds30;Name=NP_459035.1;Parent=gene30;Dbxref=Genbank:NP_459035.1,GeneID:1251548;gbkey=CDS;product=LysR family transcriptional regulator;protein_id=NP_459035.1;transl_table=11;strand=+
cds31	gi|16763390|ref|NC_003197.1|	34376	34816	ID=cds31;Name=NP_459036.1;Parent=gene31;Dbxref=Genbank:NP_459036.1,GeneID:1251549;gbkey=CDS;product=transcriptional regulator;protein_id=NP_459036.1;transl_table=11;strand=-
cds32	gi|16763390|ref|NC_003197.1|	35339	37057	ID=cds32;Name=NP_459037.1;Parent=gene32;Dbxref=Genbank:NP_459037.1,GeneID:1251550;gbkey=CDS;product=arylsulfatase;protein_id=NP_459037.1;transl_table=11;strand=+
cds33	gi|16763390|ref|NC_003197.1|	37103	38674	ID=cds33;Name=NP_459038.1;Parent=gene33;Dbxref=Genbank:NP_459038.1,GeneID:1251551;gbkey=CDS;product=5%27-nucleotidase;protein_id=NP_459038.1;transl_table=11;strand=-
cds34	gi|16763390|ref|NC_003197.1|	38773	39534	ID=cds34;Name=NP_459039.1;Parent=gene34;Dbxref=Genbank:NP_459039.1,GeneID:1251552;gbkey=CDS;product=outer membrane%2Fexported protein;protein_id=NP_459039.1;transl_table=11;strand=-
cds35	gi|16763390|ref|NC_003197.1|	40131	41624	ID=cds35;Name=NP_459040.1;Parent=gene35;Dbxref=Genbank:NP_459040.1,GeneID:1251553;gbkey=CDS;product=arylsulfatase;protein_id=NP_459040.1;transl_table=11;strand=+
cds36	gi|16763390|ref|NC_003197.1|	41723	42913	ID=cds36;Name=NP_459041.1;Parent=gene36;Dbxref=Genbank:NP_459041.1,GeneID:1251554;gbkey=CDS;product=arylsulfatase regulator;protein_id=NP_459041.1;transl_table=11;strand=+
cds37	gi|16763390|ref|NC_003197.1|	42932	44185	ID=cds37;Name=NP_459042.1;Parent=gene37;Dbxref=Genbank:NP_459042.1,GeneID:1251555;gbkey=CDS;product=cytoplasmic protein;protein_id=NP_459042.1;transl_table=11;strand=+
cds38	gi|16763390|ref|NC_003197.1|	44312	46027	ID=cds38;Name=NP_459043.1;Parent=gene38;Dbxref=Genbank:NP_459043.1,GeneID:1251556;gbkey=CDS;product=arylsulfatase;protein_id=NP_459043.1;transl_table=11;strand=+
cds39	gi|16763390|ref|NC_003197.1|	46190	47356	ID=cds39;Name=NP_459044.1;Parent=gene39;Note=exports sodium by using the electrochemical proton gradient to allow protons into the cell%3B functions in adaptation to high salinity and alkaline pH%3B activity increases at higher pH%3B downregulated at acidic pH;Dbxref=Genbank:NP_459044.1,GeneID:1251557;gbkey=CDS;gene=nhaA;product=Na%28%2B%29%2FH%28%2B%29 antiporter NhaA;protein_id=NP_459044.1;transl_table=11;strand=+
cds40	gi|16763390|ref|NC_003197.1|	47418	48317	ID=cds40;Name=NP_459045.1;Parent=gene40;Note=Na%2B%2FH%2B antiporter regulatory protein%3B activates the genes nhaA and osmC;Dbxref=Genbank:NP_459045.1,GeneID:1251558;gbkey=CDS;gene=nhaR;product=transcriptional activator NhaR;protein_id=NP_459045.1;transl_table=11;strand=+
cds41	gi|16763390|ref|NC_003197.1|	48372	50411	ID=cds41;Name=NP_459046.1;Parent=gene41;Dbxref=Genbank:NP_459046.1,GeneID:1251559;gbkey=CDS;product=glycosyl hydrolase;protein_id=NP_459046.1;transl_table=11;strand=-
cds42	gi|16763390|ref|NC_003197.1|	50451	51824	ID=cds42;Name=NP_459047.1;Parent=gene42;Dbxref=Genbank:NP_459047.1,GeneID:1251560;gbkey=CDS;product=sodium galactoside symporter;protein_id=NP_459047.1;transl_table=11;strand=-
cds43	gi|16763390|ref|NC_003197.1|	52280	52543	ID=cds43;Name=NP_459048.1;Parent=gene43;Note=binds directly to the 16S rRNA and is involved in post-translational inhibition of arginine and ornithine decarboxylase;Dbxref=Genbank:NP_459048.1,GeneID:1251561;gbkey=CDS;gene=rpsT;product=30S ribosomal protein S20;protein_id=NP_459048.1;transl_table=11;strand=-
cds44	gi|16763390|ref|NC_003197.1|	52649	52864	ID=cds44;Name=NP_459049.1;Parent=gene44;Dbxref=Genbank:NP_459049.1,GeneID:1251562;gbkey=CDS;gene=yaaY;product=cytoplasmic protein;protein_id=NP_459049.1;transl_table=11;strand=+
cds45	gi|16763390|ref|NC_003197.1|	52872	53810	ID=cds45;Name=NP_459050.1;Parent=gene45;Note=catalyzes the formation of FMN from riboflavin and the formation of FAD from FMN%3B in Bacillus the ribC gene has both flavokinase and FAD synthetase activities;Dbxref=Genbank:NP_459050.1,GeneID:1251563;gbkey=CDS;gene=ribF;product=bifunctional riboflavin kinase%2FFMN adenylyltransferase;protein_id=NP_459050.1;transl_table=11;strand=+
cds46	gi|16763390|ref|NC_003197.1|	53855	56689	ID=cds46;Name=NP_459051.1;Parent=gene46;Note=IleRS%3B catalyzes the formation of isoleucyl-tRNA%28Ile%29 from isoleucine and tRNA%28Ile%29%3B since isoleucine and other amino acids such as valine are similar%2C there are additional editing function in this enzyme%3B one is involved in hydrolysis of activated valine-AMP and the other is involved in deacylation of mischarged Val-tRNA%28Ile%29%3B there are two active sites%2C one for aminoacylation and one for editing%3B class-I aminoacyl-tRNA synthetase family type 1 subfamily%3B some organisms carry two different copies of this enzyme;Dbxref=Genbank:NP_459051.1,GeneID:1251564;gbkey=CDS;gene=ileS;product=isoleucine--tRNA ligase;protein_id=NP_459051.1;transl_table=11;strand=+
cds47	gi|16763390|ref|NC_003197.1|	56689	57189	ID=cds47;Name=NP_459052.1;Parent=gene47;Note=lipoprotein signal peptidase%3B integral membrane protein that removes signal peptides from prolipoproteins during lipoprotein biosynthesis;Dbxref=Genbank:NP_459052.1,GeneID:1251565;gbkey=CDS;gene=lspA;product=lipoprotein signal peptidase;protein_id=NP_459052.1;transl_table=11;strand=+
cds48	gi|16763390|ref|NC_003197.1|	57344	57793	ID=cds48;Name=NP_459053.1;Parent=gene48;Dbxref=Genbank:NP_459053.1,GeneID:1251566;gbkey=CDS;gene=slpA;product=peptidyl-prolyl cis-trans isomerase;protein_id=NP_459053.1;transl_table=11;strand=+
cds49	gi|16763390|ref|NC_003197.1|	57796	58746	ID=cds49;Name=NP_459054.1;Parent=gene49;Note=catalyzes the conversion of 1-hydroxy-2-methyl-2-%28E%29-butenyl 4-diphosphate into isopentenyl diphosphate %28IPP%29 and dimethylallyl diphosphate %28DMAPP%29%3B functions in the nonmevalonate isoprenoid biosynthesis pathway;Dbxref=Genbank:NP_459054.1,GeneID:1251567;gbkey=CDS;gene=ispH;product=4-hydroxy-3-methylbut-2-enyl diphosphate reductase;protein_id=NP_459054.1;transl_table=11;strand=+
cds50	gi|16763390|ref|NC_003197.1|	58946	60148	ID=cds50;Name=NP_459055.1;Parent=gene50;Dbxref=Genbank:NP_459055.1,GeneID:1251568;gbkey=CDS;product=nitrite reductase;protein_id=NP_459055.1;transl_table=11;strand=+
cds51	gi|16763390|ref|NC_003197.1|	60164	61084	ID=cds51;Name=NP_459056.1;Parent=gene51;Note=catalyzes the hydrolysis of both purine and pyrimidine ribonucleosides;Dbxref=Genbank:NP_459056.1,GeneID:1251569;gbkey=CDS;gene=rihC;product=ribonucleoside hydrolase RihC;protein_id=NP_459056.1;transl_table=11;strand=+
cds52	gi|16763390|ref|NC_003197.1|	61106	61792	ID=cds52;Name=NP_459057.1;Parent=gene52;Dbxref=Genbank:NP_459057.1,GeneID:1251570;gbkey=CDS;product=transcriptional regulator;protein_id=NP_459057.1;transl_table=11;strand=-
cds53	gi|16763390|ref|NC_003197.1|	61794	63413	ID=cds53;Name=NP_459058.1;Parent=gene53;Dbxref=Genbank:NP_459058.1,GeneID:1251571;gbkey=CDS;product=sensory histidine kinase;protein_id=NP_459058.1;transl_table=11;strand=-
cds54	gi|16763390|ref|NC_003197.1|	63548	64849	ID=cds54;Name=NP_459059.1;Parent=gene54;Note=oxaloacetate decarboxylase beta chain %28SW:DCOB_SALTY%29;Dbxref=Genbank:NP_459059.1,GeneID:1251572;gbkey=CDS;product=oxalacetate decarboxylase subunit beta;protein_id=NP_459059.1;transl_table=11;strand=-
cds55	gi|16763390|ref|NC_003197.1|	64862	66637	ID=cds55;Name=NP_459060.1;Parent=gene55;Note=catalyzes the formation of pyruvate from oxaloacetate;Dbxref=Genbank:NP_459060.1,GeneID:1251573;gbkey=CDS;product=oxaloacetate decarboxylase subunit alpha;protein_id=NP_459060.1;transl_table=11;strand=-
cds56	gi|16763390|ref|NC_003197.1|	66654	66893	ID=cds56;Name=NP_459061.1;Parent=gene56;Note=catalyzes the decarboxylation of oxaloacetate to form pyruvate and carbon dioxide;Dbxref=Genbank:NP_459061.1,GeneID:1251574;gbkey=CDS;product=oxaloacetate decarboxylase subunit gamma;protein_id=NP_459061.1;transl_table=11;strand=-
cds57	gi|16763390|ref|NC_003197.1|	67052	68392	ID=cds57;Name=NP_459062.1;Parent=gene57;Dbxref=Genbank:NP_459062.1,GeneID:1251575;gbkey=CDS;product=citrate-sodium symporter;protein_id=NP_459062.1;transl_table=11;strand=-
cds58	gi|16763390|ref|NC_003197.1|	68637	69680	ID=cds58;Name=NP_459063.1;Parent=gene58;Dbxref=Genbank:NP_459063.1,GeneID:1251576;gbkey=CDS;gene=citC2;product=citrate lyase synthetase;protein_id=NP_459063.1;transl_table=11;strand=+
cds59	gi|16763390|ref|NC_003197.1|	69710	70003	ID=cds59;Name=NP_459064.1;Parent=gene59;Note=acyl carrier protein%3B with CitE and CitF catalyzes the formation of oxaloacetate from citrate;Dbxref=Genbank:NP_459064.1,GeneID:1251577;gbkey=CDS;gene=citD2;product=citrate lyase subunit gamma;protein_id=NP_459064.1;transl_table=11;strand=+
cds60	gi|16763390|ref|NC_003197.1|	70000	70869	ID=cds60;Name=NP_459065.1;Parent=gene60;Dbxref=Genbank:NP_459065.1,GeneID:1251578;gbkey=CDS;gene=citE2;product=citrate lyase subunit beta;protein_id=NP_459065.1;transl_table=11;strand=+
cds61	gi|16763390|ref|NC_003197.1|	70880	72400	ID=cds61;Name=NP_459066.1;Parent=gene61;Dbxref=Genbank:NP_459066.1,GeneID:1251579;gbkey=CDS;gene=citF2;product=citrate lyase subunit alpha;protein_id=NP_459066.1;transl_table=11;strand=+
cds62	gi|16763390|ref|NC_003197.1|	72400	72951	ID=cds62;Name=NP_459067.1;Parent=gene62;Dbxref=Genbank:NP_459067.1,GeneID:1251580;gbkey=CDS;product=cytoplasmic protein;protein_id=NP_459067.1;transl_table=11;strand=+
cds63	gi|16763390|ref|NC_003197.1|	72929	73837	ID=cds63;Name=NP_459068.1;Parent=gene63;Note=modifier of citrate lyase protein;Dbxref=Genbank:NP_459068.1,GeneID:1251581;gbkey=CDS;gene=citG2;product=2-%285%27%27-triphosphoribosyl%29-3%27-dephosphocoenzyme-A synthase;protein_id=NP_459068.1;transl_table=11;strand=+
cds64	gi|16763390|ref|NC_003197.1|	74017	74838	ID=cds64;Name=NP_459069.1;Parent=gene64;Note=catalyzes the reduction of 2%2C3-dihydrodipicolinate to 2%2C3%2C4%2C5-tetrahydrodipicolinate in lysine and diaminopimelate biosynthesis;Dbxref=Genbank:NP_459069.1,GeneID:1251582;gbkey=CDS;gene=dapB;product=4-hydroxy-tetrahydrodipicolinate reductase;protein_id=NP_459069.1;transl_table=11;strand=+
cds65	gi|16763390|ref|NC_003197.1|	74964	75239	ID=cds65;Name=YP_006892374.1;Parent=gene65;Dbxref=Genbank:YP_006892374.1,GeneID:13865703;gbkey=CDS;product=hypothetical protein;protein_id=YP_006892374.1;transl_table=11;strand=-
cds66	gi|16763390|ref|NC_003197.1|	75880	77028	ID=cds66;Name=NP_459071.1;Parent=gene66;Note=catalyzes production of carbamoyl phosphate from bicarbonate and glutamine in pyrimidine and arginine biosynthesis pathways%3B forms an octamer composed of four CarAB dimers;Dbxref=Genbank:NP_459071.1,GeneID:1251584;gbkey=CDS;gene=carA;product=carbamoyl phosphate synthase small subunit;protein_id=NP_459071.1;transl_table=11;strand=+
cds67	gi|16763390|ref|NC_003197.1|	77047	80274	ID=cds67;Name=NP_459072.1;Parent=gene67;Note=four CarB-CarA dimers form the carbamoyl phosphate synthetase holoenzyme that catalyzes the production of carbamoyl phosphate%3B CarB is responsible for the amidotransferase activity;Dbxref=Genbank:NP_459072.1,GeneID:1251585;gbkey=CDS;gene=carB;product=carbamoyl phosphate synthase large subunit;protein_id=NP_459072.1;transl_table=11;strand=+
cds68	gi|16763390|ref|NC_003197.1|	80548	80943	ID=cds68;Name=NP_459073.1;Parent=gene68;Note=regulator of carnitine metabolism%3B induces the caiTABCDE and fixABCX operons;Dbxref=Genbank:NP_459073.1,GeneID:1251586;gbkey=CDS;gene=caiF;product=DNA-binding transcriptional activator CaiF;protein_id=NP_459073.1;transl_table=11;strand=+
cds69	gi|16763390|ref|NC_003197.1|	81020	81616	ID=cds69;Name=NP_459074.1;Parent=gene69;Note=involved in the synthesis of a cofactor required for carnitine dehydratase and carnitine racemase activities;Dbxref=Genbank:NP_459074.1,GeneID:1251587;gbkey=CDS;gene=caiE;product=carnitine operon protein CaiE;protein_id=NP_459074.1;transl_table=11;strand=-
cds70	gi|16763390|ref|NC_003197.1|	81725	82510	ID=cds70;Name=NP_459075.1;Parent=gene70;Note=catalyzes the dehydration of L-carnitinyl-CoA to crotonobetainyl-CoA;Dbxref=Genbank:NP_459075.1,GeneID:1251588;gbkey=CDS;gene=caiD;product=carnitinyl-CoA dehydratase;protein_id=NP_459075.1;transl_table=11;strand=-
cds71	gi|16763390|ref|NC_003197.1|	82564	84117	ID=cds71;Name=NP_459076.1;Parent=gene71;Dbxref=Genbank:NP_459076.1,GeneID:1251589;gbkey=CDS;gene=caiC;product=crotonobetaine%2Fcarnitine-CoA ligase;protein_id=NP_459076.1;transl_table=11;strand=-
cds72	gi|16763390|ref|NC_003197.1|	84180	85397	ID=cds72;Name=NP_459077.1;Parent=gene72;Note=catalyzes formation of L-carnitinyl-CoA by transfering the CoA moiety from gamma-butyrobetainyl-CoA%2C also catalyzes the formation of crotonobetainyl-CoA by transfer of CoA from gamma-butyrobetainyl-CoA or L-carnitinyl-CoA to crotonobetaine;Dbxref=Genbank:NP_459077.1,GeneID:1251590;gbkey=CDS;gene=caiB;product=crotonobetainyl-CoA:carnitine CoA-transferase;protein_id=NP_459077.1;transl_table=11;strand=-
cds73	gi|16763390|ref|NC_003197.1|	85509	86651	ID=cds73;Name=NP_459078.1;Parent=gene73;Note=catalyzes the reduction of crotonobetainyl-CoA to gamma-butyrobetainyl-CoA;Dbxref=Genbank:NP_459078.1,GeneID:1251591;gbkey=CDS;gene=caiA;product=crotonobetainyl-CoA dehydrogenase;protein_id=NP_459078.1;transl_table=11;strand=-
cds74	gi|16763390|ref|NC_003197.1|	86686	88203	ID=cds74;Name=NP_459079.1;Parent=gene74;Note=catalyzes the exchange of L-carnitine for gamma-butyrobetaine in carnitine metabolism;Dbxref=Genbank:NP_459079.1,GeneID:1251592;gbkey=CDS;gene=caiT;product=L-carnitine%2Fgamma-butyrobetaine antiporter;protein_id=NP_459079.1;transl_table=11;strand=-
cds75	gi|16763390|ref|NC_003197.1|	88431	88616	ID=cds75;Name=YP_006892375.1;Parent=gene75;Dbxref=Genbank:YP_006892375.1,GeneID:13865720;gbkey=CDS;product=hypothetical protein;protein_id=YP_006892375.1;transl_table=11;strand=+
cds76	gi|16763390|ref|NC_003197.1|	88684	89454	ID=cds76;Name=NP_459080.1;Parent=gene76;Note=required for anaerobic carnitine reduction%2C may act to transfer electrons to crotonobetaine reductase;Dbxref=Genbank:NP_459080.1,GeneID:1251593;gbkey=CDS;gene=fixA;product=electron transfer flavoprotein FixA;protein_id=NP_459080.1;transl_table=11;strand=+
cds77	gi|16763390|ref|NC_003197.1|	89470	90411	ID=cds77;Name=NP_459081.1;Parent=gene77;Note=involved in electron transfer during carnitine metabolism;Dbxref=Genbank:NP_459081.1,GeneID:1251594;gbkey=CDS;gene=fixB;product=electron transfer flavoprotein FixB;protein_id=NP_459081.1;transl_table=11;strand=+
cds78	gi|16763390|ref|NC_003197.1|	90461	91747	ID=cds78;Name=NP_459082.1;Parent=gene78;Note=FAD%2FNAD%28P%29-binding domain%3B possibly part of an electron transfer system required for anaerobic carnitine reduction;Dbxref=Genbank:NP_459082.1,GeneID:1251595;gbkey=CDS;gene=fixC;product=oxidoreductase FixC;protein_id=NP_459082.1;transl_table=11;strand=+
cds79	gi|16763390|ref|NC_003197.1|	91744	92031	ID=cds79;Name=NP_459083.1;Parent=gene79;Dbxref=Genbank:NP_459083.1,GeneID:1251596;gbkey=CDS;gene=fixX;product=ferredoxin-lik3 protein FixX;protein_id=NP_459083.1;transl_table=11;strand=+
cds80	gi|16763390|ref|NC_003197.1|	92178	93518	ID=cds80;Name=NP_459084.1;Parent=gene80;Dbxref=Genbank:NP_459084.1,GeneID:1251597;gbkey=CDS;gene=yaaU;product=MFS family transporter;protein_id=NP_459084.1;transl_table=11;strand=+
cds81	gi|16763390|ref|NC_003197.1|	93607	93837	ID=cds81;Name=NP_459085.1;Parent=gene81;Dbxref=Genbank:NP_459085.1,GeneID:1251598;gbkey=CDS;product=outer membrane lipoprotein;protein_id=NP_459085.1;transl_table=11;strand=+
cds82	gi|16763390|ref|NC_003197.1|	94131	94547	ID=cds82;Name=NP_459086.1;Parent=gene82;Dbxref=Genbank:NP_459086.1,GeneID:1251599;gbkey=CDS;product=hypothetical protein;protein_id=NP_459086.1;transl_table=11;strand=+
cds83	gi|16763390|ref|NC_003197.1|	94771	95061	ID=cds83;Name=NP_459087.1;Parent=gene83;Dbxref=Genbank:NP_459087.1,GeneID:1251600;gbkey=CDS;product=hypothetical protein;protein_id=NP_459087.1;transl_table=11;strand=-
cds84	gi|16763390|ref|NC_003197.1|	95959	97848	ID=cds84;Name=NP_459089.1;Parent=gene84;Dbxref=Genbank:NP_459089.1,GeneID:1251602;gbkey=CDS;product=sulfatase;protein_id=NP_459089.1;transl_table=11;strand=+
cds85	gi|16763390|ref|NC_003197.1|	98255	98785	ID=cds85;Name=NP_459090.1;Parent=gene85;Note=Required for full activity of KefC%2C a potassium-proton antiporter;Dbxref=Genbank:NP_459090.1,GeneID:1251603;gbkey=CDS;gene=yabF;product=glutathione-regulated potassium-efflux system ancillary protein KefF;protein_id=NP_459090.1;transl_table=11;strand=+
cds86	gi|16763390|ref|NC_003197.1|	98778	100640	ID=cds86;Name=NP_459091.1;Parent=gene86;Note=transport system that facilitates potassium-efflux;Dbxref=Genbank:NP_459091.1,GeneID:1251604;gbkey=CDS;gene=kefC;product=glutathione-regulated potassium-efflux system protein KefC;protein_id=NP_459091.1;transl_table=11;strand=+
